customer_id,home_store,customer_phone_number,customer_since,loyalty_card_number,birthdate,gender,birth_year
1,3,6289-0320-5353,1/4/2017,908-424-2890,5/29/1950,L,1950
2,3,6280-0830-6531,1/7/2017,032-732-6308,7/30/1950,L,1950
3,3,6286-0071-5536,1/10/2017,459-375-9187,9/30/1950,L,1950
4,3,6288-0668-5959,1/13/2017,576-640-9226,12/1/1950,L,1950
5,3,6282-0852-3609,1/15/2017,344-674-6569,2/1/1951,L,1951
6,3,6288-0305-0605,1/18/2017,114-126-1992,4/4/1951,L,1951
7,3,6281-0849-6685,1/21/2017,384-074-3606,6/5/1951,L,1951
8,3,6288-0741-5448,1/24/2017,257-308-7675,8/7/1951,L,1951
9,3,6284-0001-2189,1/26/2017,931-925-0273,10/8/1951,L,1951
10,3,6285-0457-2733,1/29/2017,359-150-6747,12/9/1951,L,1951
11,3,6289-0478-2770,2/1/2017,547-881-4488,2/9/1952,L,1952
12,3,6282-0647-9637,2/4/2017,605-014-6218,4/11/1952,L,1952
13,3,6284-0640-9359,2/6/2017,430-935-8698,6/12/1952,L,1952
14,3,6284-0572-5531,2/9/2017,703-178-5883,8/13/1952,L,1952
15,3,6284-0070-1016,2/12/2017,959-439-4036,10/15/1952,L,1952
16,3,6288-0691-0854,2/15/2017,169-057-5893,12/16/1952,L,1952
17,3,6284-0093-4717,2/17/2017,373-811-5424,2/16/1953,L,1953
18,3,6284-0363-9093,2/20/2017,981-655-9539,4/19/1953,L,1953
19,3,6288-0826-5958,2/23/2017,833-172-4578,6/20/1953,L,1953
20,3,6288-0181-3903,2/26/2017,639-354-7929,8/21/1953,L,1953
21,3,6282-0515-1372,2/28/2017,097-053-2704,10/22/1953,L,1953
22,3,6283-0523-7482,3/3/2017,238-527-1012,12/23/1953,L,1953
23,3,6281-0665-5122,3/6/2017,865-048-2894,2/24/1954,L,1954
24,3,6282-0774-2152,3/9/2017,411-854-0502,4/27/1954,L,1954
25,3,6281-0548-4410,3/11/2017,160-817-8375,6/28/1954,L,1954
26,3,6287-0687-5391,3/14/2017,237-244-8752,8/29/1954,L,1954
27,3,6280-0558-8476,3/17/2017,975-791-8098,10/30/1954,L,1954
28,3,6285-0326-9779,3/20/2017,423-612-1809,12/31/1954,L,1954
29,3,6282-0763-5247,3/22/2017,957-710-5308,3/3/1955,L,1955
30,3,6289-0190-5969,3/25/2017,507-966-0978,5/5/1955,L,1955
31,3,6284-0865-6673,3/28/2017,295-623-3357,7/6/1955,L,1955
32,3,6289-0888-6013,3/31/2017,769-005-9211,9/6/1955,L,1955
33,3,6283-0564-5501,4/2/2017,030-445-7648,11/7/1955,L,1955
34,3,6285-0268-3508,4/5/2017,264-090-3648,1/8/1956,L,1956
35,3,6281-0387-4441,4/8/2017,671-939-9911,3/10/1956,L,1956
36,3,6282-0145-7406,4/11/2017,845-486-0693,5/11/1956,L,1956
37,3,6289-0067-3848,4/13/2017,758-964-2500,7/12/1956,L,1956
38,3,6287-0084-4473,4/16/2017,436-942-8673,9/13/1956,L,1956
39,3,6281-0432-3306,4/19/2017,913-873-5817,11/14/1956,L,1956
40,3,6285-0171-7667,4/22/2017,180-267-4872,1/15/1957,L,1957
41,3,6287-0103-1486,4/25/2017,094-153-0253,3/18/1957,L,1957
42,3,6282-0691-3512,4/27/2017,679-008-0050,5/19/1957,L,1957
43,3,6281-0102-1472,4/30/2017,357-852-2866,7/20/1957,L,1957
44,3,6284-0294-2478,5/3/2017,979-597-2939,9/20/1957,L,1957
45,3,6289-0115-6125,5/6/2017,203-603-4571,11/22/1957,L,1957
46,3,6285-0179-1893,5/8/2017,029-550-1237,1/23/1958,L,1958
47,3,6282-0511-0317,5/11/2017,807-423-0633,3/26/1958,L,1958
48,3,6288-0160-0704,5/14/2017,654-978-8530,5/27/1958,L,1958
49,3,6289-0751-1624,5/17/2017,424-044-2556,7/28/1958,L,1958
50,3,6283-0733-4557,5/19/2017,017-112-7662,9/28/1958,L,1958
51,3,6281-0545-8542,5/22/2017,805-407-8672,11/29/1958,L,1958
52,3,6283-0282-5280,5/25/2017,710-304-2797,1/30/1959,L,1959
53,3,6283-0513-7940,5/28/2017,787-654-2964,4/3/1959,L,1959
54,3,6289-0541-6136,5/30/2017,383-139-9577,6/4/1959,L,1959
55,3,6283-0465-6302,6/2/2017,119-751-3976,8/5/1959,L,1959
56,3,6280-0639-1774,6/5/2017,199-920-1769,10/6/1959,L,1959
57,3,6285-0547-4297,6/8/2017,256-419-8919,12/7/1959,L,1959
58,3,6280-0704-1285,6/10/2017,703-777-1632,2/7/1960,L,1960
59,3,6283-0204-4397,6/13/2017,983-004-2955,4/9/1960,L,1960
60,3,6288-0287-9165,6/16/2017,524-730-2862,6/11/1960,L,1960
61,3,6283-0777-1026,6/19/2017,752-217-2232,8/12/1960,L,1960
62,3,6282-0809-3329,6/21/2017,703-338-1357,10/13/1960,L,1960
63,3,6288-0222-2248,6/24/2017,403-049-6981,12/14/1960,L,1960
64,3,6285-0671-2865,6/27/2017,104-937-1984,2/14/1961,L,1961
65,3,6283-0721-6621,6/30/2017,310-387-3534,4/17/1961,L,1961
66,3,6282-0582-6338,7/2/2017,309-219-0012,6/18/1961,L,1961
67,3,6283-0426-1059,7/5/2017,511-786-9310,8/19/1961,L,1961
68,3,6281-0096-8663,7/8/2017,399-348-1631,10/21/1961,L,1961
69,3,6289-0118-9041,7/11/2017,463-990-0451,12/22/1961,L,1961
70,3,6283-0027-3893,7/13/2017,489-527-6220,2/22/1962,L,1962
71,3,6283-0220-5105,7/16/2017,217-626-4681,4/25/1962,L,1962
